Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
NIZAMABAD,BODHAN,RUDRUR,VARNI,KOKKALDAS THANDA,6,WATER WORKS,7,7,4088,15.666
NIZAMABAD,BODHAN,RUDRUR,VARNI,MALLARAM,6,WATER WORKS,6,5,2939,23.001
NIZAMABAD,BODHAN,RUDRUR,VARNI,NEHURUNAGAR,6,WATER WORKS,4,2,2190,19.667
NIZAMABAD,BODHAN,RUDRUR,VARNI,POTTIGUTTA THANDA,6,WATER WORKS,3,3,2868,12.667
NIZAMABAD,BODHAN,RUDRUR,VARNI,PYADMALR,6,WATER WORKS,5,5,2499,29.0
NIZAMABAD,BODHAN,RUDRUR,VARNI,RAJPET,6,WATER WORKS,1,1,1749,5.0
NIZAMABAD,BODHAN,RUDRUR,VARNI,SANKORA,6,WATER WORKS,2,2,1412,25.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,SAMPALLY T,6,WATER WORKS,3,3,4365,15.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,SUDDAPALLY,6,WATER WORKS,10,10,5340,46.33
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,SUDDULAM,6,WATER WORKS,6,5,7854,27.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,WESLINAGAR T,6,WATER WORKS,3,3,1558,7.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,YANAMPALLY,6,WATER WORKS,16,13,12396,60.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,YANAMPALLY T,6,WATER WORKS,2,2,139,6.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,JAKRANPALLY, VIVEKNAGAR THANDA,6,WATER WORKS,3,3,892,11.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,JAKRANPALLY,ARGUL,6,WATER WORKS,10,2,1053,42.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,JAKRANPALLY,BRAHMANPALLY,6,WATER WORKS,17,16,9078,43.0
NIRMAL,NIRMAL,KHANAPUR,PEMBI,MANDAPALLI,6,WATER WORKS,6,3,125,15.0
NIRMAL,NIRMAL,KHANAPUR,PEMBI,P PANDRY THANDA,6,WATER WORKS,1,0,0,5.0
NIRMAL,NIRMAL,KHANAPUR,PEMBI,PASUPULA,6,WATER WORKS,4,2,164,29.0
NIRMAL,NIRMAL,KHANAPUR,PEMBI,PEMBI,6,WATER WORKS,12,11,3165,30.0
NIRMAL,NIRMAL,KHANAPUR,PEMBI,POCHAMPALLI,6,WATER WORKS,1,0,0,5.0
NIRMAL,NIRMAL,KHANAPUR,PEMBI,RAYADHARI,6,WATER WORKS,3,1,0,25.0
NIRMAL,NIRMAL,KHANAPUR,PEMBI,SAKIGUDA,6,WATER WORKS,1,1,2,1.0
NIRMAL,NIRMAL,KHANAPUR,PEMBI,SHETPALLI,6,WATER WORKS,1,0,0,5.0
NIRMAL,NIRMAL,KHANAPUR,PEMBI,THATIGUDA,6,WATER WORKS,5,1,411,22.0
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL-RURAL,KAREPALLI,6,WATER WORKS,7,7,1794,9.0
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL-RURAL,KOTHA (T),6,WATER WORKS,4,4,1244,12.0
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL-RURAL,LINGAPOOR,6,WATER WORKS,6,5,961,16.0
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL-RURAL,MENDORA,6,WATER WORKS,18,17,15753,37.0
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL-RURAL,MUCHKOOR,6,WATER WORKS,14,11,8458,114.8
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL-RURAL,PALLIKONDA,6,WATER WORKS,16,13,7294,92.5
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL-RURAL,PEDDAMAKADI (T),6,WATER WORKS,3,2,35,11.0
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL-RURAL,PIPRI(JR),6,WATER WORKS,9,9,8903,33.0
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL-RURAL,RAHATHNAGER,6,WATER WORKS,4,4,3616,8.0
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL-RURAL,RAMACHANDRAPALL,6,WATER WORKS,1,0,0,5.0
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL-RURAL,SECENDRAPOOR,6,WATER WORKS,14,11,3339,64.0
NIZAMABAD,BODHAN,RUDRUR,VARNI,ANTAPUR THANDA,6,WATER WORKS,6,5,1618,23.001
NIZAMABAD,BODHAN,RUDRUR,VARNI,CHELKA THANDA,6,WATER WORKS,2,2,749,10.333
NIZAMABAD,BODHAN,RUDRUR,VARNI,CHINTALPET THANDA,6,WATER WORKS,3,3,534,11.0
NIZAMABAD,BODHAN,RUDRUR,VARNI,HUMNAPOOR,6,WATER WORKS,13,13,15335,34.167
NIZAMABAD,BODHAN,RUDRUR,VARNI,JAKORA,6,WATER WORKS,16,14,10810,82.66
NIZAMABAD,BODHAN,RUDRUR,VARNI,JALALPUR,6,WATER WORKS,19,18,18466,125.373
NIZAMABAD,BODHAN,RUDRUR,VARNI,KHUNIPUR,6,WATER WORKS,9,7,4356,31.5
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,RAGHAVAPUR,BOJANNAPETA,6,WATER WORKS,3,0,0,22.5
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,RAGHAVAPUR,CHEEKURAI,6,WATER WORKS,2,1,1210,10.5
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,RAGHAVAPUR,DHAMMNAPALLI,6,WATER WORKS,1,1,378,7.5
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,RAJYATHANDA,6,WATER WORKS,1,1,854,7.5
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,REKAMPALLY,6,WATER WORKS,2,2,205,15.0
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,THIMMAMPET,6,WATER WORKS,4,4,6648,35.5
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,THOGARRI,6,WATER WORKS,5,3,2576,32.5
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,ZEEDICAL,6,WATER WORKS,3,1,885,17.5
WARANGAL,NARSAMPET,NARSAMPET(TOWN,NALLABELLY,ARRAIAHPALLY,6,WATER WORKS,6,4,172,27.0
WARANGAL,NARSAMPET,NARSAMPET(TOWN,NALLABELLY,ASHARAVELLY,6,WATER WORKS,2,2,1958,20.0
WARANGAL,NARSAMPET,NARSAMPET(TOWN,NALLABELLY,BOLLONPALLY,6,WATER WORKS,4,4,369,17.0
WARANGAL,NARSAMPET,NARSAMPET(TOWN,NALLABELLY,BUCHIREDDY PALLY,6,WATER WORKS,1,1,1239,5.0
WARANGAL,NARSAMPET,NARSAMPET(TOWN,NALLABELLY,GANDHINAGAR,6,WATER WORKS,1,1,42,5.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,ENUGALLU,6,WATER WORKS,2,2,4474,33.5
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,GOPANPALLI,6,WATER WORKS,3,3,619,15.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,GORUGUTTA THANDA,6,WATER WORKS,2,2,430,10.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,Gugulothu thanda,6,WATER WORKS,3,2,685,13.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,JAMALPOOR,6,WATER WORKS,1,1,564,5.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,KONKAPAKA,6,WATER WORKS,3,3,6141,15.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,Malyathanda,6,WATER WORKS,4,4,1750,20.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,Mudethulathanda,6,WATER WORKS,2,2,790,10.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,SOMARAM,6,WATER WORKS,6,6,3206,38.5
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,Sri nagar,6,WATER WORKS,1,1,1722,5.0
WARANGAL,WARANGAL,WARANGAL,GORREKUNTA,MOGILICHERLA,6,WATER WORKS,2,2,167,7.0
WARANGAL,WARANGAL,WARANGAL,GORREKUNTA,POTHARAJAPALLY,6,WATER WORKS,1,1,0,20.0
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,GRAIN MARKET,6,WATER WORKS,1,1,237,6.0
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,RAMOLLAWADA,6,WATER WORKS,12,3,1565,38.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,KORATPALLY T,6,WATER WORKS,2,2,3987,10.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,LINGASAMUNDHAR,6,WATER WORKS,2,1,3021,2.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,MENTRAJPALLY,6,WATER WORKS,14,14,9178,44.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,NAKA THANDA,6,WATER WORKS,1,1,0,8.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,SAMPALLY,6,WATER WORKS,2,2,0,6.0
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,NAGAPOOR,6,WATER WORKS,11,11,6086,31.0
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,NANDIGOAN,6,WATER WORKS,5,4,6287,21.0
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,NAVIPET,6,WATER WORKS,82,82,55260,315.0
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,POTHANGAL,6,WATER WORKS,11,11,3955,21.0
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,RAMPOOR  N,6,WATER WORKS,8,8,5526,26.0
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,SHIVA THANDA,6,WATER WORKS,4,4,2143,12.0
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,STATION AREA,6,WATER WORKS,6,6,3308,22.0
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,YAMCHA,6,WATER WORKS,6,6,286,18.0
NIZAMABAD,NIZAMABAD,NIZAMABAD - TOWN,DISTIBUTION-I,BABAN SA PAPHAD,6,WATER WORKS,86,86,12509,241.333
NIZAMABAD,NIZAMABAD,NIZAMABAD - TOWN,DISTIBUTION-I,L1,6,WATER WORKS,20,20,4955,92.0
NIZAMABAD,NIZAMABAD,NIZAMABAD - TOWN,DISTIBUTION-I,L2,6,WATER WORKS,13,9,451,61.0
PEDDAPALLY,MANTHANI,Manthani,RAMAGIRI,RAJAPUR,6,WATER WORKS,2,2,2274,12.5
PEDDAPALLY,MANTHANI,Manthani,RAMAGIRI,RATNAPOOR,6,WATER WORKS,7,7,3356,26.6
PEDDAPALLY,MANTHANI,Manthani,RAMAGIRI,SINGAREDDIPALLY,6,WATER WORKS,4,3,3301,35.0
PEDDAPALLY,MANTHANI,Manthani,RAMAGIRI,SUNDILLA,6,WATER WORKS,8,8,4003,16.2
PEDDAPALLY,MANTHANI,Manthani,RAMAGIRI,UPPALA KESARAM,6,WATER WORKS,1,0,0,1.0
PEDDAPALLY,MANTHANI,RAMAGUNDAM,ANTHERGAON,AKENPALLY,6,WATER WORKS,2,2,3319,11.667
PEDDAPALLY,MANTHANI,RAMAGUNDAM,ANTHERGAON,ANTHERGOAN,6,WATER WORKS,15,11,6605,66.0
PEDDAPALLY,MANTHANI,RAMAGUNDAM,ANTHERGAON,BRAHMANPALLY,6,WATER WORKS,3,2,635,16.667
PEDDAPALLY,MANTHANI,RAMAGUNDAM,ANTHERGAON,EKLASPUR,6,WATER WORKS,2,2,3893,8.0
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,BOMPALLY,PUTTAPALLY,6,WATER WORKS,1,1,446,7.5
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,BOMPALLY,RAGINEDU,6,WATER WORKS,2,2,3451,7.0
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,BOMPALLY,T. MADDIKUNTA,6,WATER WORKS,3,2,1650,15.0
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY (T ),6,WATER WORKS,3,2,2703,35.0
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,RANGAMPALLY,6,WATER WORKS,3,3,2506,40.72
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,RAGHAVAPUR,APPANNAPET,6,WATER WORKS,3,3,704,15.0
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,RAGHAVAPUR,BANDAMPALLY,6,WATER WORKS,1,1,833,5.0
NIRMAL,NIRMAL,KHANAPUR,PEMBI,KARAMLODELES,6,WATER WORKS,1,0,0,5.0
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL (T),MUDUGUDISELA (T),6,WATER WORKS,4,3,1019,8.0
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL (T),PURANIPET,6,WATER WORKS,14,14,6418,66.0
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL (T),ROOPLA (T),6,WATER WORKS,2,2,419,2.0
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL (T),SANTHOSH NAGAR (T),6,WATER WORKS,3,3,204,13.0
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL (T),SUDHARSHAN NAGAR (T),6,WATER WORKS,2,1,154,10.0
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL-RURAL,BABANAGER,6,WATER WORKS,8,1,3946,34.0
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL-RURAL,BACHANPALLI,6,WATER WORKS,7,6,1879,22.2
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL-RURAL,BEJJORA,6,WATER WORKS,9,4,4788,42.0
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL-RURAL,DEVAKKAPET,6,WATER WORKS,7,7,7614,14.0
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL-RURAL,DEVANPALLI,6,WATER WORKS,10,2,4779,29.67
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL-RURAL,GANGARAI,6,WATER WORKS,2,1,19,2.0
NIZAMABAD,ARMOOR,BHEEMGAL,BHEEMGAL-RURAL,GONGOPPULA,6,WATER WORKS,18,10,9598,41.0
NIZAMABAD,BODHAN,RUDRUR,RUDRUR,AKBARNAGAR,6,WATER WORKS,10,10,7614,42.5
NIZAMABAD,BODHAN,RUDRUR,RUDRUR,AMBAM,6,WATER WORKS,10,10,4230,34.5
NIZAMABAD,BODHAN,RUDRUR,RUDRUR,BOPPAPUR,6,WATER WORKS,10,10,4370,30.499
NIZAMABAD,BODHAN,RUDRUR,RUDRUR,CHIKATPALLY,6,WATER WORKS,9,9,2100,22.833
NIZAMABAD,BODHAN,RUDRUR,RUDRUR,KONDAPURM,6,WATER WORKS,2,1,2422,5.64
NIZAMABAD,BODHAN,RUDRUR,RUDRUR,LAXMIPUR PARM,6,WATER WORKS,3,1,2405,11.0
NIZAMABAD,BODHAN,RUDRUR,RUDRUR,RAIKUR,6,WATER WORKS,19,19,1838,38.334
NIZAMABAD,BODHAN,RUDRUR,RUDRUR,RAIKUR CAMP,6,WATER WORKS,7,4,850,15.333
NIZAMABAD,BODHAN,RUDRUR,RUDRUR,RANAMPALLY,6,WATER WORKS,6,6,833,14.333
NIZAMABAD,BODHAN,RUDRUR,RUDRUR,RUDRUR,6,WATER WORKS,64,62,23762,246.542
NIZAMABAD,BODHAN,RUDRUR,RUDRUR,SIDDAPOOR,6,WATER WORKS,7,5,2120,15.0
NIZAMABAD,BODHAN,RUDRUR,RUDRUR,SULEMANNAGAR,6,WATER WORKS,13,13,5262,27.666
NIZAMABAD,BODHAN,RUDRUR,VARNI,AFFANDI FARM,6,WATER WORKS,3,2,0,12.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,DEVAPALLY CAMP,6,WATER WORKS,3,3,1586,15.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,DEVNAGAR CAMP,6,WATER WORKS,2,2,2952,10.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,DHARMARAM - (B),6,WATER WORKS,27,27,26172,85.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,GOLLAPALLY,6,WATER WORKS,2,2,132,10.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,KORATPALLY,6,WATER WORKS,8,7,17262,24.0
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,SANGEM,6,WATER WORKS,5,2,9402,30.0
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,THIMMAPUR (YELUGUR),6,WATER WORKS,1,1,1939,7.5
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,VANJARAPALLI,6,WATER WORKS,1,1,239,7.5
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,YELUGUR (RANGAMPET),6,WATER WORKS,10,1,2077,50.0
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,YELUGUR STATION,6,WATER WORKS,2,2,0,12.5
WARANGAL,RURAL WARANGAL,KAPULAKANAPARTHY,SANGEM,vrn thanda,6,WATER WORKS,2,1,0,10.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,ANANTHARAM,6,WATER WORKS,3,3,1481,15.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,Bathu thanda-2,6,WATER WORKS,2,2,1325,8.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,CHINTANEKKONDA,6,WATER WORKS,2,2,4800,7.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,CHOWTAPALLI,6,WATER WORKS,6,4,4579,28.0
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,MIDDLE FORT,6,WATER WORKS,8,8,143,19.0
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,SHIVNAGAR-II,6,WATER WORKS,2,1,168,6.0
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,STHAMBHAMPALLI,6,WATER WORKS,6,6,5932,52.5
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,WEST FORT-I,6,WATER WORKS,5,5,2677,7.0
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,WEST FORT-II,6,WATER WORKS,2,2,0,6.0
WARANGAL,WARANGAL,WARANGAL,GORREKUNTA,DHARMARAM,6,WATER WORKS,7,6,661,69.5
WARANGAL,WARANGAL,WARANGAL,GORREKUNTA,GORREKUNTA,6,WATER WORKS,21,15,1397,119.0
WARANGAL,WARANGAL,WARANGAL,GORREKUNTA,KEERTHI NAGAR,6,WATER WORKS,2,2,16,15.0
NIRMAL,NIRMAL,KHANAPUR,MAMDA,RAMPUR,6,WATER WORKS,1,0,0,5.0
NIRMAL,NIRMAL,KHANAPUR,MAMDA,RASIMATLA,6,WATER WORKS,1,0,0,5.0
NIRMAL,NIRMAL,KHANAPUR,MAMDA,RAYIDHARI,6,WATER WORKS,2,2,3221,8.0
NIRMAL,NIRMAL,KHANAPUR,MAMDA,SANPET,6,WATER WORKS,2,0,0,8.0
NIRMAL,NIRMAL,KHANAPUR,MAMDA,TANDRA,6,WATER WORKS,3,1,84,23.0
NIRMAL,NIRMAL,KHANAPUR,MAMDA,THEMBARNI,6,WATER WORKS,1,0,0,5.0
NIRMAL,NIRMAL,KHANAPUR,MAMDA,VASTAPUR,6,WATER WORKS,1,0,0,5.0
NIRMAL,NIRMAL,KHANAPUR,PEMBI,ITIKYAL,6,WATER WORKS,4,4,2455,32.0
PEDDAPALLY,MANTHANI,Manthani,RAMAGIRI,BUDHAVARMPET,6,WATER WORKS,4,3,3474,20.007
PEDDAPALLY,MANTHANI,Manthani,RAMAGIRI,JALLARAM,6,WATER WORKS,4,4,1570,34.0
PEDDAPALLY,MANTHANI,Manthani,RAMAGIRI,KALVACHERLA,6,WATER WORKS,9,9,1606,32.007
PEDDAPALLY,MANTHANI,Manthani,RAMAGIRI,LADNA POOR,6,WATER WORKS,2,2,1302,15.0
PEDDAPALLY,MANTHANI,Manthani,RAMAGIRI,LANKA KASHARAM,6,WATER WORKS,1,1,1111,5.0
PEDDAPALLY,MANTHANI,Manthani,RAMAGIRI,MUSTIAL,6,WATER WORKS,12,12,4134,29.0
PEDDAPALLY,MANTHANI,Manthani,RAMAGIRI,NAGEPALLY,6,WATER WORKS,7,6,4478,26.007
PEDDAPALLY,MANTHANI,Manthani,RAMAGIRI,NARASIMLA PALLY,6,WATER WORKS,5,5,3490,21.0
PEDDAPALLY,MANTHANI,Manthani,RAMAGIRI,NAVABPET,6,WATER WORKS,2,2,795,10.0
PEDDAPALLY,MANTHANI,Manthani,RAMAGIRI,PANNUR,6,WATER WORKS,4,4,2462,15.001
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,BOMPALLY,BRAHAMANPALLY-A,6,WATER WORKS,2,1,3019,22.0
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,BOMPALLY,DEVUNIPALLY,6,WATER WORKS,1,1,568,5.0
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,BOMPALLY,GOPAIAHPALLI,6,WATER WORKS,2,2,1075,10.0
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,BOMPALLY,KANGARTHY (K),6,WATER WORKS,2,1,1499,15.0
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,BOMPALLY,KASULAPALLY,6,WATER WORKS,2,2,2984,10.0
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,BOMPALLY,KURMAPALLY,6,WATER WORKS,1,1,722,10.0
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,BOMPALLY,NIMMANAPALLY,6,WATER WORKS,2,2,245,13.0
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,BOMPALLY,NITTOR,6,WATER WORKS,1,1,1912,15.0
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,BOMPALLY,PALITHAM,6,WATER WORKS,1,1,335,5.0
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,BOMPALLY,PEDDA BONKUR,6,WATER WORKS,2,2,2682,13.0
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,BOMPALLY,PEDDA KALAVALA,6,WATER WORKS,2,1,1,30.0
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,CHALAPARTHY,6,WATER WORKS,3,1,2126,20.0
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,CHAPALABANDA,6,WATER WORKS,3,2,3177,20.0
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,GIRNIBAI,6,WATER WORKS,1,1,3116,5.0
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,MADHIRA MANDAPALLY,6,WATER WORKS,2,1,617,12.5
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,MANDAPALLY,6,WATER WORKS,3,3,20153,173.0
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,MARRIPALLY,6,WATER WORKS,1,1,576,5.0
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,MOHAMMADAPUR,6,WATER WORKS,3,1,766,17.5
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,NACHINAPALLY,6,WATER WORKS,5,5,3648,30.0
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,NARAYANA THANDA,6,WATER WORKS,3,1,603,17.5
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,PONAKAL,6,WATER WORKS,1,1,1454,13.0
NIZAMABAD,BODHAN,RUDRUR,POTHANGAL,KAREGAON,6,WATER WORKS,4,4,14010,113.36
NIZAMABAD,BODHAN,RUDRUR,POTHANGAL,KODCHERLA,6,WATER WORKS,5,5,4293,13.333
NIZAMABAD,BODHAN,RUDRUR,POTHANGAL,KOLLUR,6,WATER WORKS,3,3,146,7.5
NIZAMABAD,BODHAN,RUDRUR,POTHANGAL,LINGAPOOR,6,WATER WORKS,7,7,2132,15.333
NIZAMABAD,BODHAN,RUDRUR,POTHANGAL,POTHANGAL K,6,WATER WORKS,30,30,32990,140.516
NIZAMABAD,BODHAN,RUDRUR,POTHANGAL,SOMPUR,6,WATER WORKS,7,7,992,12.667
NIZAMABAD,BODHAN,RUDRUR,POTHANGAL,SUNKINI,6,WATER WORKS,8,8,4165,12.0
NIZAMABAD,BODHAN,RUDRUR,POTHANGAL,TAKLI,6,WATER WORKS,4,4,271,4.0
NIZAMABAD,BODHAN,RUDRUR,POTHANGAL,THIRUMALAPUR,6,WATER WORKS,2,2,869,7.667
NIZAMABAD,DICHPALLY,DICHPALLY,YELLAREDDIPALLY,LINGAPUR,6,WATER WORKS,1,1,540,5.0
NIZAMABAD,DICHPALLY,DICHPALLY,YELLAREDDIPALLY,LOLAM,6,WATER WORKS,5,5,2950,30.0
NIZAMABAD,DICHPALLY,DICHPALLY,YELLAREDDIPALLY,NALLAVALLY,6,WATER WORKS,18,18,7306,50.0
NIZAMABAD,DICHPALLY,DICHPALLY,YELLAREDDIPALLY,SIRNAPALLY,6,WATER WORKS,21,21,15968,67.67
NIZAMABAD,DICHPALLY,DICHPALLY,YELLAREDDIPALLY,STATION THANDA,6,WATER WORKS,2,2,569,2.0
NIZAMABAD,DICHPALLY,DICHPALLY,YELLAREDDIPALLY,VENGALPAD,6,WATER WORKS,7,4,1861,13.0
NIZAMABAD,DICHPALLY,DICHPALLY,YELLAREDDIPALLY,YELLAREDDYPALLY,6,WATER WORKS,15,15,11805,61.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,AMRUTHAPUR,6,WATER WORKS,7,7,1276,27.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,AREPALLY,6,WATER WORKS,2,2,623,6.0
NIZAMABAD,DICHPALLY,NIZAMABAD - RURAL,BARDHIPOOR,BARDIPUR,6,WATER WORKS,9,9,8421,24.0
NIZAMABAD,NIZAMABAD,NAVIPET,JANNEPALLY,TUNGINI,6,WATER WORKS,9,8,2613,22.0
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,ABBAPOOR (MAKTA),6,WATER WORKS,6,6,3966,48.73
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,ABBAPOOR (MDPL),6,WATER WORKS,1,1,1747,5.0
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,ABBAPOOR (TANDA),6,WATER WORKS,6,6,3777,16.0
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,ABHANGAPATNAM,6,WATER WORKS,10,10,5372,46.0
NIZAMABAD,NIZAMABAD,NAVIPET,NAVIPET,ALJAPOOR,6,WATER WORKS,2,2,0,6.0
