Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
KHAMMAM,KHAMMAM,PEDDA GOPATHI,KONIJERLA,BASAVAPURAM,6,WATER WORKS,1,1,714,5.0
KHAMMAM,KHAMMAM,PEDDA GOPATHI,KONIJERLA,DUDDIPUDI,6,WATER WORKS,2,2,2623,10.0
KHAMMAM,KHAMMAM,PEDDA GOPATHI,KONIJERLA,G.R.MADUGU,6,WATER WORKS,4,4,217,20.0
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,BHAGATVEEDU,6,WATER WORKS,1,1,1,3.0
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,BIKARI THANDA,6,WATER WORKS,1,1,148,5.0
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,BODIYA THANDA,6,WATER WORKS,3,3,12650,25.0
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,BURRAMGUTTATHANDA,6,WATER WORKS,1,1,909,9.0
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,CHOWTAPALLY,6,WATER WORKS,1,1,1895,3.0
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,DUBBA THANDA,6,WATER WORKS,1,1,1568,11.0
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,ERRAGADA THANDA,6,WATER WORKS,2,2,2079,14.0
KAMAREDDY,BANSWADA,PITLAM,PEDDA KONDAPGAL,ALLAPUR,6,WATER WORKS,3,2,1308,3.0
KAMAREDDY,KAMAREDDY,Kamareddy Rural,VELPUGONDA,FAREEDPET,6,WATER WORKS,26,26,10823,88.671
KAMAREDDY,KAMAREDDY,Kamareddy Rural,VELPUGONDA,ISSAIPET,6,WATER WORKS,40,40,15959,85.005
KAMAREDDY,KAMAREDDY,Kamareddy Rural,VELPUGONDA,PALVANCHA,6,WATER WORKS,17,17,7697,53.0
KAMAREDDY,KAMAREDDY,Kamareddy Rural,VELPUGONDA,POTHARAM,6,WATER WORKS,10,10,3559,38.335
KAMAREDDY,KAMAREDDY,Kamareddy Rural,VELPUGONDA,RAMESHWARPALLY (B),6,WATER WORKS,3,3,2201,15.0
KAMAREDDY,KAMAREDDY,Kamareddy Rural,VELPUGONDA,VELPUGONDA,6,WATER WORKS,13,13,7619,51.397
KAMAREDDY,KAMAREDDY,Kamareddy Rural,VELPUGONDA,WADI,6,WATER WORKS,3,3,0,15.0
KAMAREDDY,KAMAREDDY,Kamareddy Town,KAMAREDDY TOWN-I,A5,6,WATER WORKS,56,55,25066,290.867
KAMAREDDY,KAMAREDDY,Kamareddy Town,KAMAREDDY TOWN-I,A6,6,WATER WORKS,65,65,20786,204.671
