Districts,Nationalized Banks,Private Banks,Regional Rural Banks,Cooperative Banks,ATMs,Districts_encoded,Nationalized Banks_std,Private Banks_std,Regional Rural Banks_std,Cooperative Banks_std,ATMs_std,Nationalized Banks_log,Private Banks_log,ATMs_log,Nationalized Banks_Private Banks_ratio,Nationalized Banks_Regional Rural Banks_ratio,Nationalized Banks_Cooperative Banks_ratio,Nationalized Banks_ATMs_ratio,Private Banks_Regional Rural Banks_ratio
PEDDAPALLI ,59,10,12,9,81,20.0,-0.3222296619847881,-0.34589735268289745,-0.755717172620187,0.0680413817439771,-0.2926556053839542,4.0943445622221,2.3978952727983707,4.406719247264253,5.9,4.916666666666667,6.555555555555555,0.7283950617283951,0.8333333333333334
RAJANNA ,26,6,12,13,24,21.0,-0.530336318683297,-0.4279074324776953,-0.755717172620187,0.9117545153692939,-0.5396099772623911,3.295836866004329,1.9459101490553132,3.2188758248682006,4.333333333333333,2.1666666666666665,2.0,1.0833333333333333,0.5
RANGAREDDY ,347,80,50,11,861,22.0,1.4939738873840176,1.089279043726065,1.2448105337766227,0.4898979485566355,3.0867200097946568,5.8522024797744745,4.394449154672439,6.759255270663693,4.3375,6.94,31.545454545454547,0.40301974448315914,1.6
SANGAREDDY ,115,18,11,6,48,23.0,0.03092102817025746,-0.18187719309330172,-0.8083626385779978,-0.5647434684750106,-0.43562918910304926,4.7535901911063645,2.9444389791664403,3.8918202981106265,6.388888888888889,10.454545454545455,19.166666666666668,2.3958333333333335,1.6363636363636365
SIDDIPET ,47,5,20,9,101,24.0,-0.397904809875155,-0.44840995242639475,-0.3345534449577008,0.0680413817439771,-0.20600494858450263,3.871201010907891,1.791759469228055,4.624972813284271,9.4,2.35,5.222222222222222,0.46534653465346537,0.25
SURYAPET ,82,11,43,6,116,25.0,-0.1771856285282515,-0.32539483273419795,0.8762922720719472,-0.5647434684750106,-0.14101695598491396,4.418840607796598,2.4849066497880004,4.762173934797756,7.454545454545454,1.9069767441860466,13.666666666666666,0.7068965517241379,0.2558139534883721
VIKARABAD ,45,16,28,3,44,26.0,-0.41051733452354944,-0.22288223299070065,0.08661028270478545,-1.197528318693998,-0.4529593204629396,3.828641396489095,2.833213344056216,3.8066624897703196,2.8125,1.6071428571428572,15.0,1.0227272727272727,0.5714285714285714
WANAPARTHY ,29,6,11,13,28,27.0,-0.5114175317107054,-0.4279074324776953,-0.8083626385779978,0.9117545153692939,-0.5222798459025008,3.4011973816621555,1.9459101490553132,3.367295829986474,4.833333333333333,2.6363636363636362,2.230769230769231,1.0357142857142858,0.5454545454545454
WARANGAL (R) ,37,11,13,5,67,28.0,-0.4609674331171274,-0.32539483273419795,-0.7030717066623763,-0.7756717518813397,-0.35331106514357025,3.6375861597263857,2.4849066497880004,4.219507705176107,3.3636363636363638,2.8461538461538463,7.4,0.5522388059701493,0.8461538461538461
WARANGAL (U),118,34,28,5,238,29.0,0.049839815142849186,0.14616312608588974,0.08661028270478545,-0.7756717518813397,0.3875520504917405,4.77912349311153,3.5553480614894135,5.476463551931511,3.4705882352941178,4.214285714285714,23.6,0.4957983193277311,1.2142857142857142
YADADRI ,36,29,25,8,71,30.0,-0.46727369544132463,0.04365052634239241,-0.0713261151686469,-0.1428869016623521,-0.33598093378367994,3.6109179126442243,3.4011973816621555,4.276666119016055,1.2413793103448276,1.44,4.5,0.5070422535211268,1.16
