MNTH,CIRCLE,DIVNAME,SDNAME,SECNAME,AREANAME,CAT,CATDESC,TOTSERVICES,BILLDSRVS,UNITS,LOAD,MNTH_2019-05-31,MNTH_nan,CIRCLE_encoded,DIVNAME_encoded,CATDESC_AGRICULTURAL,CATDESC_nan,CAT_std,TOTSERVICES_std,BILLDSRVS_std,UNITS_std,LOAD_std,UNITS_log,CAT_TOTSERVICES_ratio,CAT_BILLDSRVS_ratio,CAT_UNITS_ratio,CAT_LOAD_ratio,TOTSERVICES_BILLDSRVS_ratio
2019-05-31,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,NANAKRAMGUDA,5,AGRICULTURAL,2,2.0,0.0,7.5,True,False,0.0,5.0,True,False,0.0,-0.9465829566877353,-0.9451942160428858,-0.21825327419646498,-0.9463897235109207,0.0,2.5,2.5,0.004,0.6666666666666666,1.0
2019-05-31,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,,5,AGRICULTURAL,3,1.0,625.0,11.25,True,False,0.0,5.0,True,False,0.0,-0.9405727067783597,-0.9514658548917015,0.3086129150458399,-0.9403266745913302,6.439350371100098,1.6666666666666667,5.0,0.008,0.4444444444444444,3.0
2019-05-31,CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,ENGINEERING ENCLAVE,5,AGRICULTURAL,1,,0.0,2.25,True,False,0.0,5.0,True,False,0.0,-0.9525932065971109,-0.2866721369172281,-0.21825327419646498,-0.9548779919983472,0.0,5.0,0.04672897196261682,0.004,2.2222222222222223,1.0141743515560644
2019-05-31,CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,LINGAMPALLY AGL,5,AGRICULTURAL,2,1.0,323.0,7.5,True,False,0.0,5.0,True,False,0.0,-0.9465829566877353,-0.9514658548917015,0.054031172403958175,-0.9463897235109207,5.780743515792329,2.5,5.0,0.015479876160990712,0.6666666666666666,2.0
2019-05-31,CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,NALLAGANDLA AGL,5,AGRICULTURAL,8,2.0,168.0,28.5,True,False,0.0,5.0,True,False,0.0,-0.9105214572314819,-0.9451942160428858,-0.07663164252813343,-0.9124366495612144,5.1298987149230735,0.625,2.5,0.02976190476190476,0.17543859649122806,4.0
2019-05-31,CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,TARANAGAR AGL,5,AGRICULTURAL,1,1.0,896.0,3.75,True,False,0.0,5.0,True,False,0.0,-0.9525932065971109,-0.9514658548917015,0.5370620947013033,-0.9524527724305111,6.799055862058796,5.0,5.0,0.005580357142857143,1.3333333333333333,1.0
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,ALLAWADA,5,AGRICULTURAL,141,139.0,0.0,528.75,True,False,0.0,11.0,True,False,0.0,-0.11115821928453232,-0.08597969375512288,-0.21825327419646498,-0.10362592368785498,0.0,0.03546099290780142,0.03597122302158273,0.004,0.009456264775413711,1.014388489208633
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,ALOOR,5,AGRICULTURAL,388,375.0,0.0,1453.5,True,False,0.0,11.0,True,False,0.0,1.3733735083312313,1.394127074565403,-0.21825327419646498,1.3915219398831378,0.0,0.01288659793814433,0.013333333333333334,0.004,0.0034399724802201583,1.0346666666666666
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,ANTHA RAM (A),5,AGRICULTURAL,76,74.0,0.0,285.0,True,False,0.0,11.0,True,False,0.0,-0.5018244633939438,-0.4936362189281491,-0.21825327419646498,-0.497724103461231,0.0,0.06578947368421052,0.06756756756756757,0.004,0.017543859649122806,1.027027027027027
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,BESTEPOR,5,AGRICULTURAL,125,123.0,0.0,468.75,True,False,0.0,11.0,True,False,0.0,-0.2073222178345413,-0.18632591533617548,-0.21825327419646498,-0.20063470640130138,0.0,0.04,0.04065040650406504,0.004,0.010666666666666666,1.016260162601626
